wavelength;DO1-blank;DO1-blank2;DO1-blank3;1;DO16-blank5;3;DO3side2-blank7;2;blank;mppc
758;-0.000338715;-0.000439477;0.439982414;1.042.061.925;0.554211438;2.707.015.753;2.692.627.192;1.796.159.983;0.00156906154;1.035.377.026
757;-0.000351027;-0.000616425;0.43974939;1.041.486.621;0.553973854;2.707.938.194;2.695.956.469;1.797.095.776;0.001219541999;1.035.271.287
756;-0.000390547;-0.000169468;0.439205915;1.040.256.023;0.553215027;2.711.934.328;2.692.583.323;179.521.358;0.001851370325;1.035.276.294
755;-0.000271407;-0.000487883;0.438951194;1.038.802.147;0.552949905;2.708.086.729;2.695.864.439;1.798.155.308;0.001950662467;1.035.072.327
754;-0.000228616;-0.000507948;0.438422263;1.037.758.231;0.551792085;270.901.227;2.696.583.986;1.796.275.616;0.001442585024;1.034.873.605
753;-0.000252884;1.67E-05;0.438297868;1.037.029.386;0.552053928;270.875.001;2.699.108.124;1.797.173.738;0.001597744063;1.035.357.952
752;-0.000305244;-8.59E-06;0.43756184;1.036.301.255;0.551398456;2.707.515.001;2.695.747.375;1.796.821.833;0.001403316972;1.034.771.562
751;-0.000156737;-0.000501019;0.437395752;1.035.307.646;0.551111698;2.714.074.373;2.702.785.015;179.740.715;0.001422820613;1.035.558.462
750;-0.000344871;-0.000462646;0.43686077;1.034.324.169;0.550892353;271.086.812;2.699.870.586;1.798.925.996;0.001381632756;1.035.580.277
749;-0.000420961;-0.000339336;0.436444849;1.033.689.499;0.550182223;2.713.922.024;2.704.084.873;1.798.871.636;0.001481415005;103.523.922
748;-0.000196896;-0.000260594;0.436203808;1.031.962.276;0.549279511;2.711.961.031;2.705.414.772;1.797.592.044;0.001504091313;1.035.629.988
747;-0.000316418;-0.000394944;0.435833752;1.032.197.237;0.549165607;2.712.816.715;2.701.632.977;1.799.440.026;0.001302384306;1.035.638.213
746;-0.000414909;-0.000340267;0.435678303;1.030.941.248;0.54879117;2.713.795.424;2.702.584.743;1.798.807.621;0.00137649104;1.036.026.478
745;-0.000222304;-0.00027446;0.435234487;1.029.402.494;0.548513115;2.712.195.873;2.703.630.447;1.799.196.482;0.001756285317;1.035.413.623
744;-0.000519945;-0.00020502;0.435042143;1.029.432.893;0.548092902;2.717.974.663;2.699.473.143;1.799.485.803;0.001636432018;103.548.193
743;9.32E-05;-9.76E-05;0.434485793;1.028.146.267;0.547804415;2.718.048.811;2.703.563.929;1.800.316.215;0.001593457069;1.035.682.321
742;-0.000556502;5.28E-05;0.434630066;1.027.824.044;0.547702372;2.713.853.121;2.705.137.253;1.799.088.001;0.001422768692;1.035.987.496
741;-0.000430891;-9.41E-05;0.434329987;1.026.975.989;0.547431529;2.718.553.543;2.705.954.075;1.800.077.558;0.001545550535;1.035.699.129
740;-0.000377719;-0.00032423;0.433713019;1.026.985.526;0.547188342;2.717.980.146;2.710.018.396;1.798.458.815;0.001513624447;1.035.739.779
739;-0.000319419;-0.000307313;0.433477163;1.025.595.427;0.546993613;2.718.067.646;2.706.967.115;1.800.211.191;0.001297658891;1.035.860.419
738;-0.000543989;-0.000306847;0.433372498;1.024.914.622;0.546484292;2.714.690.447;2.706.568.003;1.800.530.434;0.001469986397;1.035.676.003
737;-0.000658195;-0.000566792;0.433336705;1.024.883.986;0.546184421;2.719.444.752;271.112.299;1.801.534.653;0.001381736598;1.035.704.613
736;-0.000611979;-0.000627178;0.433065772;1.024.449.229;0.546326578;2.720.423.937;2.711.204.767;1.800.901.651;0.001037116162;1.035.821.915
735;-0.000596676;-0.000531631;0.432737351;1.023.811.102;0.545704067;2.723.155.022;2.707.901.239;1.799.368.262;0.001188859809;1.035.350.204
734;-0.000722807;-0.000575736;0.43277961;1.023.452.997;0.545671701;2.723.362.684;2.710.007.191;1.800.631.046;0.001183305052;1.035.630.107
733;-0.001008175;-0.000708439;0.432479054;1.022.520.065;0.545372248;2.717.342.138;2.713.514.328;1.801.253.915;0.001205213019;1.035.655.975
732;-0.000912608;-0.000883469;0.432208568;1.022.523.642;0.545344949;2.720.791.578;2.711.235.046;1.801.851.749;0.001010312815;1.035.421.968
731;-0.000810871;-0.000867814;0.432043284;1.022.075.653;0.545178711;2.726.224.899;2.710.029.602;1.800.762.892;0.001103210379;1.035.772.085
730;-0.001188402;-0.000943398;0.431631506;1.021.725.297;0.545003474;2.721.230.507;2.710.615.873;1.800.976.634;0.0007333211252;1.035.288.811
729;-0.001117456;-0.001228775;0.431854099;1.021.398.187;0.544709265;2.723.011.494;2.712.445.974;18.014.853;0.0008648046642;1.035.514.712
728;-0.001412059;-0.001063903;0.431380063;102.100.122;0.544434071;2.724.499.702;2.712.965.012;1.801.884.055;0.0006506391219;1.035.238.385
727;-0.001566637;-0.001276681;0.431320936;1.021.442.294;0.544431865;2.721.469.641;271.197.176;1.801.857.829;0.0003054582921;1.035.381.913
726;-0.001612133;-0.001522684;0.431103677;1.021.079.302;0.544567704;2.722.985.744;2.711.669.922;1.800.967.455;0.000114586408;1.034.992.099
725;-0.001981805;-0.001752563;0.430899411;1.021.117.926;0.544141173;2.721.796.751;2.715.711.355;1.801.209.927;0.0;103.472.352
