,405,,480,,0,,650,,550
389,174738.7,389,1068.971,339,19935.1604,339,257.3512,339,178.7141
390,251848.9,390,1135.714,340,20089.3854,340,272.5711,340,272.5711
391,347836.4,391,1134.478,341,19528.9661,341,142.9964,341,150.1464
392,467281.1,392,1286.915,342,18805.4382,342,278.1406,342,178.2928
393,610965.1,393,1230.156,343,20018.8666,343,435.2412,343,235.4517
394,775140.9,394,1153.103,344,19635.6526,344,357.0886,344,49.9902
395,951269.7,395,1247.226,345,19574.6473,345,221.6756,345,193.0715
396,1155185,396,1402.028,346,19817.5198,346,393.9881,346,114.6103
397,1355115,397,1327.47,347,19635.237,347,329.9612,347,229.535
398,1564051,398,1347.105,348,19634.2942,348,273.0628,348,201.2021
399,1755796,399,1352.892,349,18519.412,349,486.1256,349,257.3524
400,1927663,400,1251.813,350,18574.5528,350,455.5319,350,64.0557
401,2066329,401,1472.241,351,18144.6143,351,261.9945,351,177.0211
402,2179003,402,1445.223,352,16513.1657,352,246.7389,352,162.1408
403,2245541,403,1466.559,353,17242.949,353,385.8429,353,-14.0299
404,2280580,404,1616.68,354,16594.6036,354,468.0488,354,139.7095
405,2257045,405,1956.903,355,16601.5982,355,333.1985,355,208.2453
406,2186185,406,1999.785,356,16551.5351,356,207.0954,356,124.2557
407,2110993,407,1808.43,357,16571.3836,357,282.0726,357,206.3923
408,1988768,408,1916.191,358,15822.0816,358,281.2855,358,137.2095
409,1834125,409,1969.182,359,16103.9286,359,424.0774,359,198.3522
410,1643333,410,1741.409,360,15570.6683,360,259.2708,360,150.1018
411,1430104,411,2094.199,361,16380.7467,361,346.6932,361,237.9229
412,1168389,412,2186.882,362,16472.3877,362,304.945,362,54.2104
413,870698,413,2179.551,363,15968.663,363,278.3144,363,135.7603
414,622793.2,414,2372.956,364,16082.2217,364,306.072,364,47.6094
415,452597.8,415,2432.815,365,15760.0248,365,162.8007,365,108.5329
416,346750.5,416,2688.849,366,16064.1741,366,270.7221,366,230.1124
417,281393.7,417,2804.088,367,15952.5333,367,168.8088,367,189.0664
418,238906,418,2821.842,368,16145.2957,368,134.7866,368,215.6611
419,206120.5,419,2925.17,369,16064.6393,369,296.9242,369,134.9623
420,176563.4,420,3283.714,370,15397.3783,370,209.5238,370,67.5869
421,150584.6,421,3281.162,371,15482.1182,371,209.9363,371,162.5302
422,128390.7,422,3278.459,372,16191.343,372,217.187,372,244.3364
423,108663.1,423,3530.997,373,16036.7309,373,310.5373,373,249.7778
424,94223.91,424,3713.221,374,15561.4883,374,262.0156,374,73.8998
425,83461.23,425,3852.126,375,16244.8558,375,208.0285,375,248.2936
426,74345.88,426,4050.245,376,15557.5729,376,308.4333,376,201.1489
427,65617.31,427,4329.099,377,15801.6526,377,174.569,377,167.8547
428,57024.16,428,4332.498,378,16305.8165,378,235.3624,378,174.839
429,52014.06,429,4664.125,379,15445.4416,379,67.0293,379,-6.7029
430,46091.45,430,5207.502,380,15481.0873,380,253.9779,380,113.6193
