,Ecxitation_750,,Excitation_690,,Emission_550,,Emission_600,,Blank_600
392,126823.3,392,393177.1,652,9275387,702,7317039,392,3090.773
393,123768.2,393,388366.5,653,9495402,703,7189246,393,2957.016
394,124438,394,383976.5,654,9679234,704,7028123,394,3293.122
395,117686,395,365430.4,655,9829223,705,6979023,395,3141.238
396,121469.3,396,369275.4,656,9959027,706,6854514,396,2969.651
397,115446.4,397,359907.6,657,1.01E+07,707,6769073,397,2853.732
398,114589.4,398,341355.9,658,1.01E+07,708,6692686,398,2391.002
399,107092.8,399,342450.2,659,1.02E+07,709,6593043,399,2846.737
400,110383.1,400,335141.9,660,1.02E+07,710,6543799,400,3172.414
401,105153.9,401,328219.6,661,1.02E+07,711,6441995,401,3046.468
402,104079.9,402,312348.6,662,1.02E+07,712,6419754,402,2495.352
403,104824.7,403,310372.8,663,1.02E+07,713,6277716,403,2638.447
404,95041.78,404,303992.2,664,1.01E+07,714,6205729,404,2772.371
405,93818.3,405,293387.2,665,1.01E+07,715,6100522,405,2979.012
406,94529.09,406,285461.3,666,9919931,716,6034131,406,3061.287
407,90479.87,407,281272.3,667,9815757,717,5938655,407,2778.573
408,89875.36,408,267092.3,668,9709794,718,5863326,408,2556.502
409,87502.3,409,263073.8,669,9505294,719,5744799,409,2411.705
410,85914.35,410,256516.4,670,9332781,720,5713243,410,2546.686
411,81424.98,411,251829,671,9146108,721,5655573,411,3231.767
412,81112.67,412,249390,672,9025123,722,5525729,412,2657.369
413,80392.92,413,247601,673,8844622,723,5444401,413,3462.96
414,79826.36,414,238745.4,674,8688674,724,5323351,414,2752.667
415,78005.2,415,235064.4,675,8535679,725,5216027,415,2897.465
416,76191.85,416,227818.1,676,8366518,726,5132182,416,2974.526
417,74732.98,417,228322.5,677,8218438,727,5000531,417,2859.772
418,75487.97,418,222022.2,678,8013351,728,4920088,418,2619.718
419,70912.37,419,221566,679,7858087,729,4725004,419,2883.555
420,72430.28,420,217269.1,680,7729638,730,4622508,420,2837.016
421,71944.34,421,213999.2,681,7589014,731,4504037,421,2355.771
422,72166.25,422,219268.7,682,7471918,732,4395039,422,2480.441
423,70013.98,423,215043.7,683,7300425,733,4249768,423,2762.426
424,70237.84,424,212912.9,684,7176182,734,4091723,424,2732.191
425,71691.01,425,208956.1,685,7036271,735,3967801,425,2990.607
