Time,Read
531,4095
532,4095
533,4095
534,4095
534,4095
535,4095
536,2235
537,4095
538,4095
539,4095
540,4095
541,4095
541,4095
542,4095
543,1086
544,4095
545,4095
546,4095
547,4095
548,4095
548,4095
549,4095
550,1848
551,4095
552,4095
553,4095
554,4095
554,4095
555,4095
556,2227
557,4095
558,4095
559,4095
560,4095
561,4095
561,4095
562,4095
563,1072
564,4095
565,4095
566,4095
567,4095
567,4095
568,4095
569,1909
570,1811
571,4095
572,4095
573,4095
574,4095
574,4095
575,4095
576,2223
577,4095
578,4095
579,4095
580,4095
581,4095
581,4095
582,4095
583,1050
584,4095
585,4095
586,4095
587,4095
587,4095
588,4095
589,1925
590,1749
591,4095
592,4095
593,4095
594,4095
594,4095
595,4095
596,2209
597,4095
598,4095
599,4095
600,4095
600,4095
601,4095
602,4095
603,1037
604,4095
605,4095
606,4095
607,4095
607,4095
608,4095
609,1941
610,1709
611,4095
612,4095
613,4095
613,4095
614,4095
615,4095
616,2195
617,4095
618,4095
619,4095
620,4095
620,4095
621,4095
622,4095
623,1064
624,4095
625,4095
626,4095
627,4095
627,4095
628,4095
629,1943
630,1681
631,4095
632,4095
633,4095
633,4095
634,4095
635,4095
636,2192
637,4095
638,4095
639,4095
640,4095
640,4095
641,4095
642,4095
643,996
644,4095
645,4095
646,4095
646,4095
647,4095
648,4095
649,2018
650,4095
651,4095
652,4095
652,4095
653,4095
654,4095
655,1859
656,2226
657,4095
658,4095
659,4095
659,4095
660,4095
661,4095
662,706
663,4095
664,4095
665,4095
665,4095
666,4095
667,4095
668,2230
669,4095
670,4095
671,4095
671,4095
672,4095
673,4095
674,4095
675,1824
676,4095
677,4095
678,4095
678,4095
679,4095
680,4095
681,922
682,4095
683,4095
684,4095
684,4095
685,4095
686,4095
687,2301
688,2302
689,4095
690,4095
690,4095
691,4095
692,4095
693,4095
694,1386
695,2837
696,4095
697,4095
697,4095
698,4095
699,4095
700,4095
701,1033
702,4095
703,4095
704,4095
704,4095
705,4095
706,4095
707,2295
708,2299
709,4095
710,4095
710,4095
711,4095
712,4095
713,4095
714,1366
715,1933
716,4095
717,4095
717,4095
718,4095
719,4095
720,4095
721,1058
722,4095
723,4095
723,4095
724,4095
725,4095
726,4095
727,2325
728,2323
729,4095
730,4095
730,4095
731,4095
732,4095
733,4095
734,1345
735,1821
736,4095
736,4095
737,4095
738,4095
739,4095
740,4095
741,1075
742,4095
743,4095
743,4095
744,4095
745,4095
746,4095
747,2295
748,2286
749,4095
750,4095
750,4095
751,4095
752,4095
753,4095
754,1330
755,1775
756,4095
756,4095
757,4095
758,4095
759,4095
760,4095
761,1059
762,4095
763,4095
763,4095
764,4095
765,4095
766,4095
767,2289
768,2303
769,4095
769,4095
770,4095
771,4095
772,4095
773,4095
774,1296
775,1738
776,4095
776,4095
777,4095
778,4095
779,4095
780,4095
781,1126
782,985
782,4095
783,4095
784,4095
785,4095
786,4095
787,2288
788,2439
788,4095
789,4095
790,4095
791,4095
792,4095
793,897
794,1344
794,4095
795,4095
796,4095
797,4095
798,4095
799,2063
800,1756
801,4095
801,4095
802,4095
803,4095
804,4095
805,4095
806,2063
807,2295
807,4095
808,4095
809,4095
810,4095
811,4095
812,4095
813,862
813,4095
814,4095
815,4095
816,4095
817,4095
818,4095
819,2101
820,1857
820,4095
821,4095
822,4095
823,4095
824,4095
825,1707
826,2031
827,3503
827,4095
828,4095
829,4095
830,4095
831,4095
832,691
832,981
833,4095
834,4095
835,4095
836,4095
837,2294
838,2299
838,2277
839,4095
840,4095
841,4095
842,4095
843,4095
844,1234
845,1643
845,4095
846,4095
847,4095
848,4095
849,4095
850,2047
851,1182
852,704
852,4095
853,4095
854,4095
855,4095
856,2079
857,2288
857,2318
858,4095
859,4095
860,4095
861,4095
862,4095
863,845
863,1174
864,4095
865,4095
866,4095
867,4095
868,4095
869,2078
870,1789
870,1398
871,4095
872,4095
873,4095
874,4095
875,4095
876,2035
877,2271
877,4095
878,4095
879,4095
880,4095
881,4095
882,690
882,795
883,4095
884,4095
885,4095
886,4095
887,4095
888,2275
888,2135
889,2175
890,4095
891,4095
892,4095
893,4095
894,1242
895,1626
895,2047
896,4095
897,4095
898,4095
899,4095
900,4095
901,1218
902,673
902,4095
903,4095
904,4095
905,4095
906,4095
907,2267
907,2288
908,2195
909,4095
910,4095
911,4095
912,4095
913,4095
914,1193
914,1584
915,1998
916,4095
917,4095
918,4095
919,4095
920,1764
921,1282
921,737
922,4095
923,4095
924,4095
925,4095
926,2019
927,2243
927,2307
928,3252
929,4095
930,4095
931,4095
932,4095
933,812
933,1105
934,1872
935,4095
936,4095
937,4095
938,4095
939,2144
939,1855
940,1442
941,4095
942,4095
943,4095
944,4095
945,4095
946,1981
946,2219
947,2335
948,4095
949,4095
950,4095
951,4095
952,672
952,753
953,4095
954,4095
955,4095
956,4095
957,4095
957,2299
958,2182
959,1962
960,4095
961,4095
962,4095
963,4095
964,1174
964,1564
965,1907
966,2240
967,4095
968,4095
969,4095
970,4095
971,1280
971,708
